trial,cost,best_so_far
1,23.12848354021179,23.12848354021179
2,28.528185970871668,23.12848354021179
3,29.035735725511763,23.12848354021179
4,25.617613613086508,23.12848354021179
5,26.4296063805079,23.12848354021179
6,29.089566867880528,23.12848354021179
7,29.67165029342795,23.12848354021179
8,26.02509343446851,23.12848354021179
9,28.615286164834007,23.12848354021179
10,26.01486153474503,23.12848354021179
11,24.84045909849908,23.12848354021179
12,23.583696279451733,23.12848354021179
13,25.09438422147328,23.12848354021179
14,27.35521908874967,23.12848354021179
15,26.85708032804784,23.12848354021179
16,26.074150454581975,23.12848354021179
17,24.627153228658266,23.12848354021179
18,26.07314862000616,23.12848354021179
19,26.521644830525386,23.12848354021179
20,27.241411553380853,23.12848354021179
21,24.23046112716084,23.12848354021179
22,22.074119329763658,22.074119329763658
23,23.538094486336117,22.074119329763658
24,23.53053229127668,22.074119329763658
25,25.27891978738045,22.074119329763658
26,23.994081268021443,22.074119329763658
27,24.6621483966306,22.074119329763658
28,23.84387211286448,22.074119329763658
29,24.961592499869777,22.074119329763658
30,22.44516144950311,22.074119329763658
31,26.322930255001506,22.074119329763658
32,29.66820544823895,22.074119329763658
33,23.23111507319707,22.074119329763658
34,29.24770897915399,22.074119329763658
35,24.18495155472556,22.074119329763658
36,27.737901948446183,22.074119329763658
37,23.691147423339576,22.074119329763658
38,24.79826008073053,22.074119329763658
39,28.597432247235535,22.074119329763658
40,28.37843304481404,22.074119329763658
41,26.89158918057171,22.074119329763658
42,27.9444755872501,22.074119329763658
43,25.7200720220518,22.074119329763658
44,28.968397305932225,22.074119329763658
45,24.11919922911324,22.074119329763658
46,27.716190478834346,22.074119329763658
47,29.063634446959995,22.074119329763658
48,29.0133692734852,22.074119329763658
49,28.905729499719012,22.074119329763658
50,29.133883343813956,22.074119329763658
51,23.51960167567235,22.074119329763658
52,27.86212712039377,22.074119329763658
53,23.622980819677977,22.074119329763658
54,29.820174255532898,22.074119329763658
55,28.65493621944507,22.074119329763658
56,29.020718685949756,22.074119329763658
57,28.985416961036787,22.074119329763658
58,30.64869792013727,22.074119329763658
59,27.362875667238516,22.074119329763658
60,28.918435249219428,22.074119329763658
