trial_number,run_id,cost,complexity,n_estimators,learning_rate,max_depth,is_on_front,is_selected,pinball,winkler
219,a10af224c3b54325b17ed9c4f0db2dae,14.924883206688666,768.0,3000,0.16753243858579703,12,False,False,14.924883206688666,768.0
381,45b2297587444c0c8b6e277cea7f3cee,14.925897710274906,585.728,2288,0.22977706341492157,12,False,False,14.925897710274906,585.728
176,9e4555018dcc45f4a78161fd65406d17,14.92818124321573,127.04,1985,0.024035569349223723,6,False,False,14.92818124321573,127.04
386,c625849e4dfe4b24b9ac1113bd265e66,14.936300222313717,126.976,992,0.01512895238646193,7,False,False,14.936300222313717,126.976
132,2902b440df1d4da0874a50e952d1fa1c,14.938462181804743,500.48,1955,0.011874994744929786,12,False,False,14.938462181804743,500.48
184,2a7cd4acd6764ce290971260bdc0e6d5,14.941271619465915,151.296,2364,0.17547609899341254,6,False,False,14.941271619465915,151.296
283,e4449d81d1c042888fac82ccdd79d002,14.951204186304796,250.112,977,0.032774765805523395,12,False,False,14.951204186304796,250.112
183,eef051805c294d119a06215e38a12023,14.958868833728957,249.088,973,0.07842520239487899,12,False,False,14.958868833728957,249.088
310,e551b7af95394cbe8268dc2e5b5045a7,14.965660020701014,660.992,2582,0.009080552164908268,12,False,False,14.965660020701014,660.992
169,fe384364a05e426c9cb8999b489c910e,14.972443258676892,583.68,2280,0.005000000000000002,12,False,False,14.972443258676892,583.68
240,60d158e636ec43c1bcfca5d63c1a0690,14.983482058264036,548.352,2142,0.2089696914621789,12,False,False,14.983482058264036,548.352
223,dca69a570a644742b5b9fb77cb3c85f2,14.989456659142743,624.64,2440,0.13138978950466498,12,False,False,14.989456659142743,624.64
284,28512ee0574a416ca44e39139dd28706,14.99406172147275,140.8,550,0.05590978020646471,12,False,False,14.99406172147275,140.8
298,92aaba5c10514b40bfc6d318ae26fabd,15.002933501658516,575.488,2248,0.00820964611273662,12,False,False,15.002933501658516,575.488
191,d3f5878dd15248bd9fb7e2760cba0b6f,15.003187375702195,224.256,876,0.024420958506933772,12,False,False,15.003187375702195,224.256
151,d94f9787ce3c4986ba2fe818b1635ebc,15.008569695048454,267.264,1044,0.1603233533509559,12,False,False,15.008569695048454,267.264
150,62906d4f17044bc1be534dbb17ed5cf4,15.013130645815233,535.808,2093,0.1855739397432288,12,False,False,15.013130645815233,535.808
143,07033a38a8b44d1f8c3333b956280fe8,15.016333919738678,92.672,1448,0.0569052885713674,6,False,False,15.016333919738678,92.672
285,514180625f794feaa21d28d9d1ab8b19,15.03061359155641,93.696,366,0.021545154020912973,12,False,False,15.03061359155641,93.696
157,329087cfd26748bebb343229b0d7a570,15.031884608230294,120.512,1883,0.05487660500114439,6,False,False,15.031884608230294,120.512
129,cd1f415c37454d4698120a9f972d2ff2,15.05454448871618,58.944,921,0.15649795233206656,6,False,False,15.05454448871618,58.944
210,951633da12824d25ad08f4ed1b257edb,15.054755597931562,576.256,2251,0.005000000000000002,12,False,False,15.054755597931562,576.256
152,aa0ca6570a4243e0b1e776554d968c92,15.062313034094869,103.936,406,0.09080386567360692,12,False,False,15.062313034094869,103.936
180,e5a71b40372740178c4e7ab8175bf4ad,15.073176774758549,103.36,1615,0.08631227230144167,6,False,False,15.073176774758549,103.36
289,884a06857f214192897c7ae3a6ce6b00,15.081315065367283,678.144,2649,0.005000000000000002,12,False,False,15.081315065367283,678.144
128,7e4f4291e48f42b7bf593112f12d8a35,15.089435359326172,135.04,2110,0.024681083875486336,6,False,False,15.089435359326172,135.04
222,691a2c35917f423ba44ec816698bc732,15.099394174791339,132.928,2077,0.18883352626600208,6,False,False,15.099394174791339,132.928
258,b17b7f2c4cfb449e9b6c48d73e7290b9,15.105070089435001,488.96,1910,0.00975403356003229,12,False,False,15.105070089435001,488.96
371,8bfefd00711c4a1bafd5c43c678e3d4d,15.11014612386273,768.0,3000,0.3,12,False,False,15.11014612386273,768.0
137,c3e9b7b796174276afb91be55bc34705,15.118532892386193,709.632,2772,0.023415659856170525,12,False,False,15.118532892386193,709.632
414,bfbe3e1cd45540a2b02be8660a4960a6,15.121516586750463,242.944,949,0.29999999999999977,12,False,False,15.121516586750463,242.944
426,148d415cad784f918d1662e9194ab2de,15.121516586750463,105.216,411,0.14214659986100592,12,False,False,15.121516586750463,105.216
179,d391a2f00e5d40c6bc55b1c033014e69,15.127499763723415,125.568,1962,0.18961369946993323,6,False,False,15.127499763723415,125.568
160,012fddb946664e81a64b24aff3964662,15.128013297741143,108.48,1695,0.05690299169217094,6,False,False,15.128013297741143,108.48
412,2f76e357bcca42308b7cb4434b522c20,15.134858105989359,730.88,2855,0.1001303991139125,10,False,False,15.134858105989359,730.88
425,65a9613889a34f98a9e2dab07359d5c1,15.134858105989359,730.88,2855,0.1001303991139125,10,False,False,15.134858105989359,730.88
155,1d8f4eebf8284464bfbcf195981d1b40,15.142606617916128,606.72,2370,0.22287240029906202,12,False,False,15.142606617916128,606.72
130,38bef35d8fbf4e3e87bd88a9b2ce6a35,15.14553280222566,174.272,2723,0.017071135764445425,6,False,False,15.14553280222566,174.272
162,c6386942aa0e4db996512ce71193a26f,15.14720153781168,50.304,786,0.029629019251026546,6,False,False,15.14720153781168,50.304
131,aba1cd5180084af9acf3c1e3dfd168bc,15.149763265734233,97.152,1518,0.041888229133140116,6,False,False,15.149763265734233,97.152
227,c3287c47e3d94f729acb39f504efef65,15.155747243115785,146.176,571,0.025771601174118412,12,False,False,15.155747243115785,146.176
134,35036d0ec8904282ad746a0361ea5ee1,15.156252986977766,662.528,2588,0.011350502829967803,12,False,False,15.156252986977766,662.528
198,20ac5f34dc9e4eb4b0268a1326bf8a37,15.166847699355708,168.384,2631,0.006872420714640078,6,False,False,15.166847699355708,168.384
257,780715f3a6dd4afaad9763828636ad89,15.170160868474296,580.864,2269,0.005616757804317015,12,False,False,15.170160868474296,580.864
221,16aa89983e384c518851b08972bb1b04,15.230222039343625,261.376,1021,0.3,12,False,False,15.230222039343625,261.376
321,1ea04e5febad4139848111b764c6ba96,15.231637566613927,113.664,444,0.026053178355500195,11,False,False,15.231637566613927,113.664
288,7c21a2a685db455ab09a590c07547dcc,15.246342175183987,612.352,2392,0.03616937157287317,12,False,False,15.246342175183987,612.352
135,ac599789447642a18373b6092f2e5321,15.254964259073565,747.264,2919,0.23262048037140765,12,False,False,15.254964259073565,747.264
188,3d59af8a5ccc4bf19b85cb338334e2ca,15.25520146428342,144.192,2253,0.006765813489509069,6,False,False,15.25520146428342,144.192
127,a3fc250df92449b381863c207f4d5206,15.262160109033337,459.776,1796,0.005000000000000002,12,False,False,15.262160109033337,459.776
167,1050c4e9f2344b15af59499940c6bfa2,15.275288467128908,125.44,490,0.3,12,False,False,15.275288467128908,125.44
421,114a376d0b2b47ecb3d0395af618101c,15.301654108103614,152.32,595,0.26487326352428686,11,False,False,15.301654108103614,152.32
