trial,cost,best_so_far
1,26.80158798472167,26.80158798472167
2,25.626704847917612,25.626704847917612
3,26.019796085284973,25.626704847917612
4,25.80416533199834,25.626704847917612
5,30.74702367010347,25.626704847917612
6,25.7236849745629,25.626704847917612
7,28.57955813742431,25.626704847917612
8,29.60840802122721,25.626704847917612
9,26.05570156443498,25.626704847917612
10,27.16031262400109,25.626704847917612
11,24.18759856220367,24.18759856220367
12,25.34449585514332,24.18759856220367
13,25.07771681937564,24.18759856220367
14,24.907865556451405,24.18759856220367
15,25.000270238192115,24.18759856220367
16,24.435852123902304,24.18759856220367
17,24.55856777650757,24.18759856220367
18,26.185231425488276,24.18759856220367
19,25.596845113184457,24.18759856220367
20,25.62483411853643,24.18759856220367
21,25.72318840605984,24.18759856220367
22,25.266287976840868,24.18759856220367
23,25.4163946650712,24.18759856220367
24,24.070023775634738,24.070023775634738
25,24.30699459800748,24.070023775634738
26,24.46089313714271,24.070023775634738
27,24.177831079938425,24.070023775634738
28,25.3959905179629,24.070023775634738
29,25.451878007822284,24.070023775634738
30,24.17152864739543,24.070023775634738
31,25.138258486133985,24.070023775634738
32,23.867396034988523,23.867396034988523
33,25.477578715459675,23.867396034988523
34,25.071334668305543,23.867396034988523
35,24.739694719182463,23.867396034988523
36,24.4224535789106,23.867396034988523
37,24.859645132366076,23.867396034988523
38,24.566122314368815,23.867396034988523
39,25.673337143990484,23.867396034988523
40,29.93717577440821,23.867396034988523
41,24.4979692310339,23.867396034988523
42,25.170089025734164,23.867396034988523
43,25.240124954835547,23.867396034988523
44,24.83475970417842,23.867396034988523
45,25.69439716100699,23.867396034988523
46,25.79428286214189,23.867396034988523
47,23.767954907350127,23.767954907350127
48,25.273124911149747,23.767954907350127
49,24.980971394959607,23.767954907350127
50,24.46549419909488,23.767954907350127
51,25.496434651717166,23.767954907350127
52,24.314000319861183,23.767954907350127
53,23.882196561431787,23.767954907350127
54,24.144493751435004,23.767954907350127
55,24.40097322199721,23.767954907350127
56,26.610362312199285,23.767954907350127
57,28.37209656321028,23.767954907350127
58,29.067782466856627,23.767954907350127
59,27.97822161384429,23.767954907350127
60,24.77329555271502,23.767954907350127
